"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Валидация некорректного email: без имени пользователя (@test.com)","firefox","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сложности пароля","firefox","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Неуспешная авторизация с неверными данными","webkit","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка спецсимволов","chromium","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","76766","Full Name: Валидация и форматы","webkit","2026-08-01","passed","2026-08-01","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","5625","Навигация к форме Homeowner Signup и проверка отображения","chromium","2026-08-01","passed","2026-08-01","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Forgot Password - проверка функциональности","webkit","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Спецсимволы и длинный запрос","chromium","2026-08-01","skipped","2026-08-01","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","35256","Email: Проверка форматов и безопасности","firefox","2026-08-01","passed","2026-08-01","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Email - проверка максимальной длины","firefox","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","firefox","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","30224","Комплексная проверка вкладки E-dition и интерактивного iframe","firefox","2026-08-01","broken","2026-08-01","Home Page E-dition Tab Audit @regression","ui/home/P Home Page Tab E-dition.spec.ts","",""
"","16848","Password Confirmation: Валидация и стили","chromium","2026-08-01","passed","2026-08-01","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Email - проверка лишних пробелов","firefox","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Password - проверка безопасности (XSS и SQL-инъекции)","webkit","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка регистра","firefox","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","17658","Password Confirmation: Валидация и стили","firefox","2026-08-01","passed","2026-08-01","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Валидация обязательных полей","chromium","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Спецсимволы и длинный запрос","firefox","2026-08-01","skipped","2026-08-01","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","8607","Search, Sort and View Admin Details","firefox","2026-08-01","passed","2026-08-01","Admin Panel / All Admins Management @regression","ui/admin/Q Admin Panel All Admins.spec.ts","",""
"","0","Password - проверка сложности пароля","chromium","2026-08-01","skipped","2026-08-01","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
